q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,attribute
9.0,51,573,39,0.6190476190476191,0.046994555952628414,0.6002621146270758,3.99035875128109e-39,13.17275174749248,85.19047619047619,7.0,,,P0,energy_above_hull
10.0,57,573,43,0.6056338028169014,0.05275760760908707,0.5836691850459861,3.118153697713676e-40,11.479553949913868,86.88028169014085,7.0,,,P0,energy_above_hull
11.0,63,573,46,0.575,0.05858458404020633,0.5485521133444546,2.7686530876181037e-39,9.814868696607627,85.36875,9.0,,,P0,energy_above_hull
12.0,68,573,49,0.5632183908045977,0.06348998130614933,0.5336071152718889,1.990189771415971e-39,8.870980573907447,85.20114942528735,10.0,,,P0,energy_above_hull
13.0,74,573,52,0.5416666666666666,0.06943688706444504,0.5074666866092782,1.7015376383461365e-38,7.800848937308215,84.05729166666667,11.75,,,P0,energy_above_hull
14.0,80,573,57,0.5533980582524272,0.07545075520425892,0.5169516991534185,7.180947080776346e-41,7.334559564768807,86.86893203883496,13.0,,,P0,energy_above_hull
15.0,85,573,62,0.5740740740740741,0.08051427689820931,0.5367780975553285,3.9446525263182917e-44,7.130090416136394,86.38888888888889,14.0,,,P0,energy_above_hull
16.0,91,573,64,0.5423728813559322,0.08665385984471832,0.498955435924583,3.196994927418625e-41,6.259073540726884,89.19067796610169,19.0,,,P0,energy_above_hull
17.0,97,573,68,0.5396825396825397,0.09286367473140028,0.4925597757523798,1.471860815031976e-41,5.811557008093017,88.01587301587301,18.5,,,P0,energy_above_hull
18.0,103,573,74,0.5606060606060606,0.09914492971776269,0.5122479143551053,7.089319469354528e-45,5.654409783757434,90.78030303030303,19.5,,,P0,energy_above_hull
19.0,108,573,79,0.5766423357664233,0.10443477276239174,0.5272732221421401,1.5152341761046424e-47,5.521554942991932,90.15328467153284,19.0,,,P0,energy_above_hull
20.0,114,573,82,0.5616438356164384,0.11085023542627534,0.5069940050046373,6.525459870808805e-46,5.066690507752493,90.42123287671232,20.5,,,P0,energy_above_hull
21.0,120,573,88,0.5789473684210527,0.11734072027853504,0.5229726336624295,8.251562672993098e-49,4.93389990317759,92.64473684210526,22.0,,,P0,energy_above_hull
22.0,126,573,92,0.575,0.12390754979930439,0.5148913794398743,1.6282584956660193e-48,4.640556616052366,97.071875,25.0,,,P0,energy_above_hull
23.0,131,573,97,0.5878787878787879,0.12943920253995603,0.5266026068212345,1.0329351226003017e-50,4.541736787178661,98.97272727272727,28.0,,,P0,energy_above_hull
24.0,137,573,101,0.5838150289017341,0.13614953768030674,0.5182210472161044,3.217300870787195e-50,4.2880426834249885,100.55202312138728,29.0,,,P0,energy_above_hull
25.0,143,573,106,0.5888888888888889,0.1429401392933665,0.520323923731353,4.035264678734014e-51,4.119828704519933,98.13333333333334,29.0,,,P0,energy_above_hull
26.0,148,573,112,0.6086956521739131,0.14866133274015444,0.5403658228216562,1.6016594841063184e-54,4.094512278037046,96.58967391304348,29.0,,,P0,energy_above_hull
27.0,154,573,118,0.6210526315789474,0.15560287751019589,0.5512213882211231,1.0151055981154958e-56,3.991267009430805,101.5078947368421,30.5,,,P0,energy_above_hull
28.0,160,573,122,0.6161616161616161,0.16262888566726297,0.5416149694341352,8.980472327594961e-56,3.788758765907531,99.19444444444444,31.5,,,P0,energy_above_hull
29.0,166,573,125,0.6038647342995169,0.16974090852766702,0.5228775333275786,2.4548755656488252e-53,3.5575674687819268,100.16425120772946,32.0,,,P0,energy_above_hull
30.0,171,573,127,0.5906976744186047,0.17573444559908336,0.5034339074391143,1.1660101785312264e-50,3.361308435605215,101.08604651162791,37.0,,,P0,energy_above_hull
31.0,177,573,133,0.6018099547511312,0.1830083192418814,0.5126143207732878,2.295460660655313e-52,3.2884294945942933,99.36651583710407,37.0,,,P0,energy_above_hull
32.0,183,573,138,0.6052631578947368,0.1903728151227539,0.5124461610499007,1.3345432563094541e-52,3.1793570815479004,97.24780701754386,34.5,,,P0,energy_above_hull
33.0,189,573,145,0.6223175965665236,0.19782963807008228,0.5291743233634043,1.6973059408324956e-55,3.1457247894578066,97.46995708154506,40.0,,,P0,energy_above_hull
34.0,194,573,149,0.6234309623430963,0.20411544453627195,0.52685469887339,2.6962071740420057e-55,3.0543056835285713,97.44142259414225,40.0,,,P0,energy_above_hull
35.0,200,573,154,0.6260162601626016,0.2117461055962624,0.5255542123007301,2.9712223054799777e-55,2.9564475738516327,97.66869918699187,40.0,,,P0,energy_above_hull
36.0,206,573,158,0.6220472440944882,0.21947416273996465,0.5157716274553057,8.830670416942097e-54,2.8342618389732577,99.07874015748031,40.5,,,P0,energy_above_hull
37.0,212,573,162,0.6183206106870229,0.22730149363603225,0.5060435782268836,2.8391480444399835e-52,2.720266377470938,99.2557251908397,40.5,,,P0,energy_above_hull
38.0,217,573,168,0.631578947368421,0.23390149173608848,0.519094413241355,1.8754862357159674e-54,2.7001920452950032,99.0827067669173,41.0,,,P0,energy_above_hull
39.0,223,573,174,0.6397058823529411,0.24191586374086366,0.5247306988575482,2.036856496958063e-55,2.6443320932362817,99.5845588235294,41.5,,,P0,energy_above_hull
40.0,229,573,178,0.6357142857142857,0.25003509898592313,0.5142629824500591,1.1690088418511058e-53,2.5425001861441707,99.05357142857143,41.5,,,P0,energy_above_hull
41.0,234,573,184,0.647887323943662,0.256882726086866,0.5261680916093227,1.2637087978500945e-55,2.5221132374801103,98.74823943661971,41.0,,,P0,energy_above_hull
42.0,240,573,188,0.6438356164383562,0.26519963409964514,0.5152909550810666,1.0057910515807186e-53,2.4277394598381825,98.76712328767124,41.0,,,P0,energy_above_hull
43.0,246,573,192,0.64,0.2736274229346693,0.5043865760262296,8.423407621465463e-52,2.338946853849532,99.16,41.0,,,P0,energy_above_hull
44.0,252,573,195,0.6310679611650486,0.28216832632827377,0.4860465867327152,1.187017062980664e-48,2.2364946816563176,100.38996763754045,44.0,,,P0,energy_above_hull
45.0,257,573,200,0.6369426751592356,0.28937380606327734,0.4891022482164616,5.128092484590861e-49,2.201106879106934,100.68152866242038,44.0,,,P0,energy_above_hull
46.0,263,573,208,0.6540880503144654,0.2981280897313316,0.5071580089975056,8.09219160480084e-52,2.193983300613905,100.75786163522012,44.0,,,P0,energy_above_hull
