q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,metric
8.0,45,573,5,0.058823529411764705,0.041294420937402626,0.01828414151037035,0.2726365746959756,1.4244909621310369,222.13529411764705,192.0,-0.07745664377498841,0.1140249267957291,P0,F3_Longitudinal
9.0,51,573,7,0.07368421052631578,0.046994555952628414,0.028005773461626405,0.15527433057773457,1.5679307748027485,225.05789473684212,198.0,-0.0666923416470286,0.1227038885702814,P0,F3_Longitudinal
10.0,57,573,7,0.06542056074766354,0.05275760760908707,0.013368228914052508,0.3339236538419765,1.2400213677694396,226.0607476635514,198.0,-0.0819608984938782,0.10869735632198323,P0,F3_Longitudinal
11.0,63,573,10,0.08620689655172414,0.05858458404020633,0.02934125790085587,0.13702765109078122,1.4714945572125382,221.81465517241378,197.5,-0.07023529246814188,0.1289178082698536,P0,F3_Longitudinal
12.0,68,573,11,0.088,0.06348998130614933,0.026171656687703947,0.16481429466783504,1.3860454545680696,215.556,192.0,-0.0785526734922493,0.1308959868676572,P0,F3_Longitudinal
13.0,74,573,14,0.1044776119402985,0.06943688706444504,0.037655398531018465,0.0757773434579549,1.5046413564498051,212.12313432835822,191.0,-0.06795810911281186,0.1432689061748488,P0,F3_Longitudinal
14.0,80,573,18,0.1267605633802817,0.07545075520425892,0.05549710679538605,0.017346258203565442,1.6800436660589781,213.20070422535213,194.5,-0.05168125906411958,0.16267547265489168,P0,F3_Longitudinal
15.0,85,573,20,0.13333333333333333,0.08051427689820931,0.05744412893866841,0.014280011197226886,1.6560209998768398,213.97333333333333,194.5,-0.0499270717720963,0.16481532964943313,P0,F3_Longitudinal
16.0,91,573,24,0.1518987341772152,0.08665385984471832,0.07143499212839978,0.0034625791054481146,1.7529367352985101,213.5632911392405,192.0,-0.03768851576163362,0.18055850001843318,P0,F3_Longitudinal
17.0,97,573,26,0.15476190476190477,0.09286367473140028,0.06823476064876649,0.004773378520811609,1.666549436144321,210.02380952380952,189.0,-0.045796299810697175,0.18226582110823014,P0,F3_Longitudinal
18.0,103,573,31,0.17714285714285713,0.09914492971776269,0.08658210404550172,0.0005896419299347943,1.7867061648753222,207.12571428571428,181.0,-0.0314079596624556,0.20457216775345904,P0,F3_Longitudinal
19.0,108,573,36,0.2,0.10443477276239174,0.10670939908238894,4.189235129144599e-05,1.915070954911126,204.73333333333332,181.0,-0.014026809691265935,0.2274456078560438,P0,F3_Longitudinal
20.0,114,573,42,0.22580645161290322,0.11085023542627534,0.12928779916141583,1.4228223889112773e-06,2.0370407942262183,202.96774193548387,179.0,0.009643899469733902,0.24893169885309777,P0,F3_Longitudinal
21.0,120,573,44,0.22448979591836735,0.11734072027853504,0.12139347322518905,4.6752829191135155e-06,1.9131448604158,201.5,176.0,0.004270667017167162,0.23851627943321094,P0,F3_Longitudinal
22.0,126,573,48,0.23529411764705882,0.12390754979930439,0.12714019830012,1.8817392142996204e-06,1.8989489988961088,199.48039215686273,174.5,0.013656476081206181,0.2406239205190338,P0,F3_Longitudinal
23.0,131,573,48,0.22429906542056074,0.12943920253995603,0.10896408746795021,2.9124628989422603e-05,1.7328526522042103,195.85046728971963,169.0,-0.002954748542733268,0.2208829234786337,P0,F3_Longitudinal
24.0,137,573,55,0.2511415525114155,0.13614953768030674,0.1331156488847865,7.10751338316505e-07,1.8446008469093884,193.6255707762557,166.0,0.02083396431843093,0.24539733345114206,P0,F3_Longitudinal
25.0,143,573,57,0.24890829694323144,0.1429401392933665,0.1236414893616599,3.275461019585738e-06,1.7413463997847292,194.04366812227073,168.0,0.011325747894378652,0.23595723082894116,P0,F3_Longitudinal
26.0,148,573,60,0.2542372881355932,0.14866133274015444,0.12401169999155563,3.140463328393166e-06,1.7101776463956184,194.07627118644066,169.0,0.010529424112908053,0.2374939758702032,P0,F3_Longitudinal
27.0,154,573,66,0.2727272727272727,0.15560287751019589,0.13870771476781182,2.917514338618799e-07,1.75271355575929,193.46694214876032,169.0,0.024551420070585903,0.25286400946503773,P0,F3_Longitudinal
