q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,adj_jaccard_ci95_low,adj_jaccard_ci95_high,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,panel,metric
10,57,573,7,0.06542056074766354,0.05275760760908707,0.013368228914052508,-0.01730704978698331,0.08018566766878402,0.3339236538419765,1.2400213677694396,226.0607476635514,198.0,P0,F3_Longitudinal
11,63,573,10,0.08620689655172414,0.05858458404020633,0.02934125790085587,-0.027403097885329797,0.08131431650381872,0.13702765109078122,1.4714945572125382,221.81465517241378,197.5,P0,F3_Longitudinal
12,68,573,11,0.088,0.06348998130614933,0.026171656687703947,-0.010068400999348581,0.09508963043386111,0.16481429466783504,1.3860454545680696,215.556,192.0,P0,F3_Longitudinal
13,74,573,14,0.1044776119402985,0.06943688706444504,0.037655398531018465,-0.013211387546627698,0.09353553777636085,0.0757773434579549,1.5046413564498051,212.12313432835822,191.0,P0,F3_Longitudinal
14,80,573,18,0.1267605633802817,0.07545075520425892,0.05549710679538605,-0.009500941769232541,0.11868965401098745,0.017346258203565442,1.6800436660589781,213.20070422535213,194.5,P0,F3_Longitudinal
15,85,573,20,0.13333333333333333,0.08051427689820931,0.05744412893866841,0.010037472701855878,0.11777987324006618,0.014280011197226886,1.6560209998768398,213.97333333333333,194.5,P0,F3_Longitudinal
16,91,573,24,0.1518987341772152,0.08665385984471832,0.07143499212839978,0.0034669215727790273,0.12121862275466586,0.0034625791054481146,1.7529367352985101,213.5632911392405,192.0,P0,F3_Longitudinal
17,97,573,26,0.15476190476190477,0.09286367473140028,0.06823476064876649,0.024163486666280848,0.13188351291430847,0.004773378520811609,1.666549436144321,210.02380952380952,189.0,P0,F3_Longitudinal
18,103,573,31,0.17714285714285713,0.09914492971776269,0.08658210404550172,0.029289044591058182,0.14938449245122282,0.0005896419299347943,1.7867061648753222,207.12571428571428,181.0,P0,F3_Longitudinal
19,108,573,36,0.2,0.10443477276239174,0.10670939908238894,0.04290292758827383,0.16903199914640832,4.189235129144599e-05,1.915070954911126,204.73333333333332,181.0,P0,F3_Longitudinal
20,114,573,42,0.22580645161290322,0.11085023542627534,0.12928779916141583,0.039226696310858754,0.167568201395107,1.4228223889112773e-06,2.0370407942262183,202.96774193548387,179.0,P0,F3_Longitudinal
21,120,573,44,0.22448979591836735,0.11734072027853504,0.12139347322518905,0.06048878459124838,0.18042638655832305,4.6752829191135155e-06,1.9131448604158,201.5,176.0,P0,F3_Longitudinal
22,126,573,48,0.23529411764705882,0.12390754979930439,0.12714019830012,0.061252147129388555,0.18469139401659557,1.8817392142996204e-06,1.8989489988961088,199.48039215686273,174.5,P0,F3_Longitudinal
23,131,573,48,0.22429906542056074,0.12943920253995603,0.10896408746795021,0.05813341307441479,0.1851693667105571,2.9124628989422603e-05,1.7328526522042103,195.85046728971963,169.0,P0,F3_Longitudinal
24,137,573,55,0.2511415525114155,0.13614953768030674,0.1331156488847865,0.05787766592451774,0.18802867910223384,7.10751338316505e-07,1.8446008469093884,193.6255707762557,166.0,P0,F3_Longitudinal
25,143,573,57,0.24890829694323144,0.1429401392933665,0.1236414893616599,0.06853725821100798,0.18325424851554697,3.275461019585738e-06,1.7413463997847292,194.04366812227073,168.0,P0,F3_Longitudinal
26,148,573,60,0.2542372881355932,0.14866133274015444,0.12401169999155563,0.05840124027432399,0.18919988804528137,3.140463328393166e-06,1.7101776463956184,194.07627118644066,169.0,P0,F3_Longitudinal
27,154,573,66,0.2727272727272727,0.15560287751019589,0.13870771476781182,0.07317460610884101,0.17702792237348128,2.917514338618799e-07,1.75271355575929,193.46694214876032,169.0,P0,F3_Longitudinal
28,160,573,67,0.2648221343873518,0.16262888566726297,0.12204057074684502,0.07015427106185183,0.18436220239024506,4.542179758675091e-06,1.6283831331733722,191.02766798418972,166.0,P0,F3_Longitudinal
29,166,573,72,0.27692307692307694,0.16974090852766702,0.1290948446048803,0.06666755349427776,0.19736288590125028,1.5436610941655865e-06,1.6314457093761796,190.43076923076924,165.0,P0,F3_Longitudinal
30,171,573,75,0.2808988764044944,0.17573444559908336,0.12758561878986374,0.07135026265355247,0.188209744048194,2.0467267187912507e-06,1.5984281023956501,190.2621722846442,166.0,P0,F3_Longitudinal
31,177,573,80,0.291970802919708,0.1830083192418814,0.13337037113611247,0.07755429490630959,0.19342698124160834,8.423936761479223e-07,1.595396341156553,188.86861313868613,165.0,P0,F3_Longitudinal
32,183,573,85,0.302491103202847,0.1903728151227539,0.1384813778172385,0.07246263921206447,0.1917122140542961,3.813040227131897e-07,1.5889406426426922,187.18861209964413,164.0,P0,F3_Longitudinal
33,189,573,89,0.3079584775086505,0.19782963807008228,0.1372885918816703,0.0671004485125731,0.20195873288847224,4.986412275933432e-07,1.5566852394460453,186.560553633218,164.0,P0,F3_Longitudinal
34,194,573,92,0.3108108108108108,0.20411544453627195,0.13405884753269523,0.0750463157780415,0.21582411557960107,9.048702130504752e-07,1.5227206913075053,185.69932432432432,164.0,P0,F3_Longitudinal
35,200,573,98,0.32450331125827814,0.2117461055962624,0.1430468107579845,0.08386564076294624,0.2127278506654804,2.1624993398459543e-07,1.5325113552596363,184.63576158940398,162.5,P0,F3_Longitudinal
36,206,573,103,0.3333333333333333,0.21947416273996465,0.14587495398366426,0.0870253890797671,0.21504526701102125,1.4489954894510929e-07,1.518781660546851,183.0,159.0,P0,F3_Longitudinal
