panel,metric,eval_mode,strategy,budget_factor,is_primary,coverage_upper_bound,baseline_strategy,n_groups,paired_diff_recall,paired_diff_recall_ci95_low,paired_diff_recall_ci95_high,material_paired_diff_recall,material_paired_diff_recall_ci95_low,material_paired_diff_recall_ci95_high
P0,F1_Frobenius,cv_mean,balanced_union,1.0,True,False,max_fold_baseline,5,0.3416083916083916,0.2839160839160839,0.3893939393939394,,,
P0,F1_Frobenius,cv_mean,disagreement_abstention,1.0,True,False,max_fold_baseline,5,0.2006993006993007,0.13706293706293704,0.27179487179487183,,,
P0,F1_Frobenius,cv_mean,minimax_oracle,1.0,True,False,max_fold_baseline,5,0.32214452214452216,0.2937062937062937,0.34638694638694645,,,
P0,F3_Longitudinal,full_panel,jarvis_only,1.0,True,False,jarvis_only,496,0.0,0.0,0.0,0.0,0.0,0.0
P0,F3_Longitudinal,full_panel,mp_only,1.0,True,False,jarvis_only,496,0.016129032258064516,-0.018145161290322582,0.05040322580645161,0.0,-0.05263157894736842,0.1111111111111111
P0,F3_Longitudinal,full_panel,average_percentile,1.0,True,False,jarvis_only,496,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105
P0,F3_Longitudinal,full_panel,borda_count,1.0,True,False,jarvis_only,496,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105
P0,F3_Longitudinal,full_panel,maximin_percentile,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.016129032258064516,0.04435483870967742,0.21052631578947367,0.10344827586206896,0.3220338983050847
P0,F3_Longitudinal,full_panel,intersection_first,1.0,True,False,jarvis_only,496,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105
P0,F3_Longitudinal,full_panel,balanced_union,1.0,True,False,jarvis_only,496,0.014112903225806451,-0.012096774193548387,0.038306451612903226,0.3859649122807018,0.2413633461047254,0.5090994854202401
P0,F3_Longitudinal,full_panel,disagreement_abstention,1.0,True,False,jarvis_only,496,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105
P0,F3_Longitudinal,full_panel,minimax_oracle,1.0,True,False,jarvis_only,496,0.016129032258064516,-0.012096774193548387,0.04435483870967742,0.3157894736842105,0.17543859649122806,0.39655172413793105
P0,F3_Longitudinal,full_panel,jarvis_only,1.5,False,False,jarvis_only,496,0.0,0.0,0.0,0.0,0.0,0.0
P0,F3_Longitudinal,full_panel,mp_only,1.5,False,False,jarvis_only,496,0.006048387096774193,-0.036290322580645164,0.04838709677419355,-0.05263157894736842,-0.16987638256343526,0.07547169811320753
P0,F3_Longitudinal,full_panel,average_percentile,1.5,False,False,jarvis_only,496,0.014112903225806451,-0.018145161290322582,0.046370967741935484,0.26315789473684215,0.10709586466165409,0.3962345478204294
P0,F3_Longitudinal,full_panel,borda_count,1.5,False,False,jarvis_only,496,0.014112903225806451,-0.018145161290322582,0.046370967741935484,0.26315789473684215,0.10709586466165409,0.3962345478204294
P0,F3_Longitudinal,full_panel,maximin_percentile,1.5,False,False,jarvis_only,496,0.014112903225806451,-0.020161290322580645,0.04838709677419355,0.17543859649122806,0.018173701298701307,0.2909090909090909
P0,F3_Longitudinal,full_panel,intersection_first,1.5,False,False,jarvis_only,496,0.014112903225806451,-0.018145161290322582,0.046370967741935484,0.26315789473684215,0.10709586466165409,0.3962345478204294
P0,F3_Longitudinal,full_panel,balanced_union,1.5,False,False,jarvis_only,496,0.006048387096774193,-0.024193548387096774,0.038306451612903226,0.5087719298245614,0.2931034482758621,0.6363636363636365
P0,F3_Longitudinal,full_panel,disagreement_abstention,1.5,False,False,jarvis_only,496,0.014112903225806451,-0.018145161290322582,0.046370967741935484,0.26315789473684215,0.10709586466165409,0.3962345478204294
P0,F3_Longitudinal,full_panel,minimax_oracle,1.5,False,False,jarvis_only,496,0.014112903225806451,-0.016129032258064516,0.046370967741935484,0.33333333333333337,0.15517241379310343,0.423728813559322
P0,F3_Longitudinal,full_panel,jarvis_only,2.0,False,False,jarvis_only,496,0.0,0.0,0.0,0.0,0.0,0.0
P0,F3_Longitudinal,full_panel,mp_only,2.0,False,False,jarvis_only,496,0.008064516129032258,-0.036290322580645164,0.05241935483870968,-0.017543859649122806,-0.15789473684210525,0.18973835450695664
P0,F3_Longitudinal,full_panel,average_percentile,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.02217741935483871,0.04435483870967742,0.2631578947368421,0.10526315789473684,0.4363636363636364
P0,F3_Longitudinal,full_panel,borda_count,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.02217741935483871,0.04435483870967742,0.2631578947368421,0.10526315789473684,0.4363636363636364
P0,F3_Longitudinal,full_panel,maximin_percentile,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.02620967741935484,0.04838709677419355,0.15789473684210525,0.016666666666666663,0.2909090909090909
P0,F3_Longitudinal,full_panel,intersection_first,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.02217741935483871,0.04435483870967742,0.2631578947368421,0.10526315789473684,0.4363636363636364
P0,F3_Longitudinal,full_panel,balanced_union,2.0,False,True,jarvis_only,496,-0.004032258064516129,-0.036290322580645164,0.03024193548387097,0.6666666666666667,0.4444444444444444,0.7678571428571428
P0,F3_Longitudinal,full_panel,disagreement_abstention,2.0,False,False,jarvis_only,496,0.010080645161290322,-0.02217741935483871,0.04435483870967742,0.2631578947368421,0.10526315789473684,0.4363636363636364
