analysis,panel,distance_metric,threshold_quantile,threshold_value,metric,n,tau,rho,nAUCC,n_excluded,boundary_count,nonidentical_space_group_count
continuous_threshold,P0,lattice_distance,0.6,0.008190839104639764,F3_Longitudinal,344,0.23870370263833476,0.34807337385517495,0.07143147615753109,229,0,6
continuous_threshold,P0,lattice_distance,0.6,0.008190839104639764,F4_KelvinOp,344,0.22677074593778127,0.32245971077615915,0.07499314376385341,229,0,6
continuous_threshold,P0,lattice_distance,0.65,0.01092320915032872,F1_Frobenius,372,0.2130197238024949,0.30268179361549846,0.07782289445968864,201,0,7
continuous_threshold,P0,lattice_distance,0.65,0.01092320915032872,F3_Longitudinal,372,0.23989180841040159,0.3499128071448846,0.07577703337804505,201,0,7
continuous_threshold,P0,lattice_distance,0.65,0.01092320915032872,F4_KelvinOp,372,0.2302073823119009,0.32975976086929637,0.07871294536722462,201,0,7
continuous_threshold,P0,lattice_distance,0.7,0.014982562805767083,F1_Frobenius,401,0.21448433234830772,0.30629675055739997,0.07416917714098618,172,0,13
continuous_threshold,P0,lattice_distance,0.7,0.014982562805767083,F3_Longitudinal,401,0.2397330824508018,0.3521970041607875,0.07536846095745997,172,0,13
continuous_threshold,P0,lattice_distance,0.7,0.014982562805767083,F4_KelvinOp,401,0.22825043332572365,0.3287799146108385,0.07448656034429428,172,0,13
continuous_threshold,P0,lattice_distance,0.75,0.020127127135668554,F1_Frobenius,430,0.22533516206833232,0.3220846750624281,0.07758473187619933,143,1,15
continuous_threshold,P0,lattice_distance,0.75,0.020127127135668554,F3_Longitudinal,430,0.24847572358288647,0.364181468575794,0.07671011546821069,143,1,15
continuous_threshold,P0,lattice_distance,0.75,0.020127127135668554,F4_KelvinOp,430,0.239213283968321,0.34331319046434805,0.08233366487241103,143,1,15
continuous_threshold,P0,lattice_distance,0.8,0.02957941995307069,F1_Frobenius,458,0.23504398056618828,0.33532189550974134,0.08549246998725211,115,0,19
continuous_threshold,P0,lattice_distance,0.8,0.02957941995307069,F3_Longitudinal,458,0.25563456047844074,0.37295275698209074,0.08226653834998464,115,0,19
continuous_threshold,P0,lattice_distance,0.8,0.02957941995307069,F4_KelvinOp,458,0.2492056742361111,0.35652949205790957,0.08992771917795284,115,0,19
continuous_threshold,P0,lattice_distance,0.8500000000000001,0.056228243581314626,F1_Frobenius,487,0.2535058920981082,0.3616777984523851,0.09857150351218577,86,0,20
continuous_threshold,P0,lattice_distance,0.8500000000000001,0.056228243581314626,F3_Longitudinal,487,0.27236481505618837,0.396551451031065,0.09621407607258543,86,0,20
continuous_threshold,P0,lattice_distance,0.8500000000000001,0.056228243581314626,F4_KelvinOp,487,0.2667224398244138,0.38140898885311536,0.10248678211146375,86,0,20
continuous_threshold,P0,lattice_distance,0.9,0.14718009108578028,F1_Frobenius,515,0.2477341846293582,0.3526548151662321,0.09843378396687318,58,0,26
continuous_threshold,P0,lattice_distance,0.9,0.14718009108578028,F3_Longitudinal,515,0.268369221387345,0.3898462070616534,0.097667698680868,58,0,26
continuous_threshold,P0,lattice_distance,0.9,0.14718009108578028,F4_KelvinOp,515,0.259491112414251,0.36977171146121063,0.10288132964133567,58,0,26
continuous_threshold,P0,lattice_distance,0.95,0.5179416024677629,F1_Frobenius,544,0.24553527598762487,0.34966686822138976,0.10003055523309841,29,0,31
continuous_threshold,P0,lattice_distance,0.95,0.5179416024677629,F3_Longitudinal,544,0.26704558148611957,0.3863993110480921,0.10100322565718757,29,0,31
continuous_threshold,P0,lattice_distance,0.95,0.5179416024677629,F4_KelvinOp,544,0.2560305514214348,0.3656225998292243,0.10207218523088799,29,0,31
continuous_threshold,P0,lattice_distance,1.0,1.8969455919051772,F1_Frobenius,573,0.2453490536947952,0.35033868277455305,0.1050746995817334,0,1,40
continuous_threshold,P0,lattice_distance,1.0,1.8969455919051772,F3_Longitudinal,573,0.26857345047318515,0.3882567435586633,0.11016248011534203,0,1,40
