q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,cluster_boot_ci95_low,cluster_boot_ci95_high,panel,metric
18.0,103,573,31,0.17714285714285713,0.09914492971776269,0.08658210404550172,-0.04445604022427531,0.21762024831527876,P0,F3_Longitudinal
19.0,108,573,36,0.2,0.10443477276239174,0.10670939908238894,-0.027645522391033184,0.24106432055581106,P0,F3_Longitudinal
20.0,114,573,42,0.22580645161290322,0.11085023542627534,0.12928779916141583,-0.0049759458548427615,0.26355154417767446,P0,F3_Longitudinal
21.0,120,573,44,0.22448979591836735,0.11734072027853504,0.12139347322518905,-0.01102500198691063,0.2538119484372887,P0,F3_Longitudinal
22.0,126,573,48,0.23529411764705882,0.12390754979930439,0.12714019830012,-0.0027237337626412617,0.2570041303628813,P0,F3_Longitudinal
23.0,131,573,48,0.22429906542056074,0.12943920253995603,0.10896408746795021,-0.02025370985968626,0.23818188479558666,P0,F3_Longitudinal
24.0,137,573,55,0.2511415525114155,0.13614953768030674,0.1331156488847865,0.004264428095365452,0.26196686967420757,P0,F3_Longitudinal
25.0,143,573,57,0.24890829694323144,0.1429401392933665,0.1236414893616599,-0.005767992278152348,0.25305097100147217,P0,F3_Longitudinal
26.0,148,573,60,0.2542372881355932,0.14866133274015444,0.12401169999155563,-0.003835263357316529,0.2518586633404278,P0,F3_Longitudinal
27.0,154,573,66,0.2727272727272727,0.15560287751019589,0.13870771476781182,0.013396087708110238,0.2640193418275134,P0,F3_Longitudinal
28.0,160,573,67,0.2648221343873518,0.16262888566726297,0.12204057074684502,-0.000979873201583631,0.24506101469527367,P0,F3_Longitudinal
29.0,166,573,72,0.27692307692307694,0.16974090852766702,0.1290948446048803,0.008943807009394927,0.24924588220036567,P0,F3_Longitudinal
30.0,171,573,75,0.2808988764044944,0.17573444559908336,0.12758561878986374,0.006598771198277217,0.24857246638145025,P0,F3_Longitudinal
31.0,177,573,80,0.291970802919708,0.1830083192418814,0.13337037113611247,0.012119763003161657,0.2546209792690633,P0,F3_Longitudinal
32.0,183,573,85,0.302491103202847,0.1903728151227539,0.1384813778172385,0.017198173303717756,0.2597645823307592,P0,F3_Longitudinal
33.0,189,573,89,0.3079584775086505,0.19782963807008228,0.1372885918816703,0.01471390232306656,0.25986328144027404,P0,F3_Longitudinal
34.0,194,573,92,0.3108108108108108,0.20411544453627195,0.13405884753269523,0.00983440384464461,0.25828329122074584,P0,F3_Longitudinal
35.0,200,573,98,0.32450331125827814,0.2117461055962624,0.1430468107579845,0.01642502624931949,0.26966859526664955,P0,F3_Longitudinal
36.0,206,573,103,0.3333333333333333,0.21947416273996465,0.14587495398366426,0.01705060955822471,0.2746992984091038,P0,F3_Longitudinal
37.0,212,573,111,0.3546325878594249,0.22730149363603225,0.16478755060957154,0.03339706676122381,0.29617803445791924,P0,F3_Longitudinal
38.0,217,573,118,0.37341772151898733,0.23390149173608848,0.18211265036798271,0.049615240313658465,0.314610060422307,P0,F3_Longitudinal
39.0,223,573,123,0.38080495356037153,0.24191586374086366,0.18321065324605515,0.05004048125331639,0.3163808252387939,P0,F3_Longitudinal
40.0,229,573,128,0.3878787878787879,0.25003509898592313,0.18380018679071145,0.05174458661585521,0.3158557869655677,P0,F3_Longitudinal
41.0,234,573,132,0.39285714285714285,0.256882726086866,0.18297840938921767,0.05021928364697076,0.3157375351314646,P0,F3_Longitudinal
42.0,240,573,139,0.40762463343108507,0.26519963409964514,0.19382815515738866,0.06271524514355967,0.3249410651712177,P0,F3_Longitudinal
43.0,246,573,143,0.40974212034383956,0.2736274229346693,0.18738964232253494,0.05731207574757388,0.317467208897496,P0,F3_Longitudinal
44.0,252,573,150,0.423728813559322,0.28216832632827377,0.19720568543174327,0.06882427522913429,0.3255870956343523,P0,F3_Longitudinal
45.0,257,573,156,0.43575418994413406,0.28937380606327734,0.20598788101229362,0.07860836280703493,0.3333673992175523,P0,F3_Longitudinal
46.0,263,573,163,0.4490358126721763,0.2981280897313316,0.21500749742653041,0.08504256580507302,0.3449724290479878,P0,F3_Longitudinal
47.0,269,573,167,0.4501347708894879,0.3070021521112328,0.20654121685126683,0.07548118569075277,0.33760124801178093,P0,F3_Longitudinal
48.0,275,573,174,0.4627659574468085,0.3159984701785904,0.21457186989996727,0.08291355986549201,0.3462301799344425,P0,F3_Longitudinal
49.0,280,573,179,0.46981627296587924,0.32359062621322854,0.21617921397811127,0.08804376285919521,0.34431466509702735,P0,F3_Longitudinal
