q_percentile,n,k,observed_overlap,min_overlap,max_overlap,expected_jaccard,observed_jaccard,min_jaccard,max_jaccard,observed_adjusted_jaccard,min_adjusted_jaccard,max_adjusted_jaccard,bounds_exact,tie_ambiguous,left_cutoff_score,left_next_score,left_absolute_gap,left_relative_gap,left_tie_block_size,left_optional_needed,right_cutoff_score,right_next_score,right_absolute_gap,right_relative_gap,right_tie_block_size,right_optional_needed,hypergeometric_pvalue,panel,metric
49.0,573,280,171,171,171,0.32359062621322854,0.43958868894601544,0.43958868894601544,0.43958868894601544,0.17149091545463066,0.17149091545463066,0.17149091545463066,True,False,0.33352111252512934,0.33320408971079574,0.0003170228143336007,0.0009505329720609949,1,1,0.5198906846636108,0.5191468145910159,0.0007438700725949099,0.001430820159965402,1,1,7.766510164568468e-09,P0,F1_Frobenius
50.0,573,286,178,178,178,0.33281774305900164,0.4517766497461929,0.4517766497461929,0.4517766497461929,0.17830046505225228,0.17830046505225228,0.17830046505225228,True,False,0.32901239627102197,0.3283785949175129,0.0006338013535090448,0.0019263752998137942,1,1,0.50398625571969,0.4988406836856834,0.005145572034006618,0.010209746745293213,1,1,2.6898967966153736e-09,P0,F1_Frobenius
1.0,573,5,0,0,0,0.0048647682070274215,0.0,0.0,0.0,-0.004888549869008643,-0.004888549869008643,-0.004888549869008643,True,False,1.2370075927549253,1.2339822773443718,0.0030253154105535085,0.0024456724665819257,1,1,9.136860189903349,3.9875717462279594,5.149288443675389,0.5635730805387161,1,1,1.0,P0,F3_Longitudinal
2.0,573,11,0,0,0,0.010144239897062002,0.0,0.0,0.0,-0.010248200097362744,-0.010248200097362744,-0.010248200097362744,True,False,1.05171,1.04302,0.008689999999999864,0.008262734023637567,1,1,3.4477,3.2830994784296075,0.16460052157039273,0.04774212419015365,2,2,1.0,P0,F3_Longitudinal
3.0,573,17,0,0,0,0.015500234329753358,0.0,0.0,0.0,-0.015744274270294834,-0.015744274270294834,-0.015744274270294834,True,False,0.9994899999999999,0.99818,0.0013099999999999223,0.001310668440904784,1,1,2.533814056388363,2.529079632833915,0.004734423554447975,0.001868496838791836,1,1,1.0,P0,F3_Longitudinal
4.0,573,22,0,0,0,0.02001050598232266,0.0,0.0,0.0,-0.020419102556176693,-0.020419102556176693,-0.020419102556176693,True,False,0.9749099999999999,0.97014,0.004769999999999941,0.004892759331630552,1,1,2.044772557040731,1.9731327548127462,0.07163980222798472,0.03503558475553117,1,1,1.0,P0,F3_Longitudinal
5.0,573,28,1,1,1,0.025477572909264095,0.01818181818181818,0.01818181818181818,0.01818181818181818,-0.007486492382967622,-0.007486492382967622,-0.007486492382967622,True,False,0.8893185201461539,0.88154,0.007778520146153878,0.008746607621390283,1,1,1.7217244245934276,1.648844345485623,0.07288007910780459,0.042329700425208686,1,1,0.7625610938212595,P0,F3_Longitudinal
6.0,573,34,2,2,2,0.031004428935034415,0.030303030303030304,0.030303030303030304,0.030303030303030304,-0.000723840905932362,-0.000723840905932362,-0.000723840905932362,True,False,0.84827,0.8434510082591248,0.004818991740875189,0.0056809644816805845,1,1,1.5479399999999992,1.5450701493891255,0.0028698506108737476,0.0018539805230653314,1,1,0.61515108602871,P0,F3_Longitudinal
7.0,573,40,3,3,3,0.03659167305736104,0.03896103896103896,0.03896103896103896,0.03896103896103896,0.0024593579247929767,0.0024593579247929767,0.0024593579247929767,True,False,0.80344,0.8025977032112663,0.0008422967887337096,0.0010483630249100238,1,1,1.45401780505046,1.4485469169755376,0.005470888074922353,0.0037626004687972116,1,1,0.5420758462727502,P0,F3_Longitudinal
8.0,573,45,5,5,5,0.041294420937402626,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.01828414151037035,0.01828414151037035,0.01828414151037035,True,False,0.78707,0.78248,0.004590000000000094,0.005831755752347433,1,1,1.4025432827009583,1.3578207394773263,0.044722543223632005,0.031886747293464794,1,1,0.2726365746959756,P0,F3_Longitudinal
